#,number,registered,added,voted,Turnout Rate,GD Rate,valid,invalid,The Party of Georgian Unity and Development,Coalition for Changes Gvaramia Melia Girchi Droa,Unity-National Movement,European Democrats,Alliance of Patriots of Georgia,"Strong Georgia - Lelo, For People, For Liberty!",Georgian Labour Party,Our United Georgia,Change Georgia,Sakartvelo,Free Georgia,Tribune,Chven,Gakharia for Georgia,Left-Wing Alliance,Unity of Georgian,Girchi,Georgian Dream,dirty
1865,00.45.25,913,5,605,0.659041394,0.420479303,596,9,1,55,37,1,12,49,1,2,3,1,1,0,0,35,0,2,10,386,
71,00.01.13,1163,13,775,0.659013605,0.242346939,775,0,1,131,79,3,16,130,7,2,3,0,4,0,0,77,0,2,35,285,
2927,00.81.25,1211,3,800,0.658978583,0.383031301,751,49,1,24,154,1,10,33,1,1,7,1,0,0,3,42,0,1,7,465,
2737,00.68.15,1205,6,798,0.658959538,0.291494633,783,15,0,44,163,2,12,42,2,1,0,0,2,1,0,153,0,2,6,353,
1535,00.33.15,764,4,506,0.658854167,0.451822917,502,4,1,34,31,0,4,39,5,1,2,0,0,0,0,32,0,0,6,347,
1248,00.25.33,418,1,276,0.658711217,0.412887828,270,6,0,45,34,0,2,3,0,0,2,0,0,0,1,7,1,0,2,173,
2748,00.69.04,970,5,642,0.658461538,0.332307692,635,7,1,96,75,3,7,34,0,0,0,0,0,1,1,86,0,0,7,324,
1325,00.27.31,796,6,528,0.658354115,0.331670823,519,9,3,63,32,2,22,48,7,0,3,0,3,0,1,49,1,0,19,266,
1322,00.27.28,1331,15,886,0.658246657,0.280832095,873,13,2,93,125,2,17,115,8,0,8,2,2,1,1,94,1,3,21,378,
2195,00.55.05,860,3,568,0.658169177,0.380069525,550,18,0,32,105,2,11,29,3,0,3,0,3,1,0,20,1,3,9,328,
303,00.05.29,1386,15,922,0.658101356,0.314061385,913,9,2,115,57,4,27,107,7,1,12,1,2,0,0,93,2,1,42,440,DIRTY
1538,00.33.18,1428,4,942,0.657821229,0.36452514,924,18,2,72,151,5,17,59,3,1,4,3,0,0,2,58,0,3,22,522,
1268,00.26.14,819,5,542,0.65776699,0.394417476,532,10,2,21,43,2,13,92,4,1,2,1,0,1,3,10,2,2,8,325,
2017,00.50.06,1074,7,711,0.657724329,0.531914894,706,5,1,22,19,2,6,25,4,0,5,0,0,0,1,31,0,0,15,575,
2187,00.54.31,323,7,217,0.657575758,0.454545455,208,9,0,7,21,1,3,17,0,0,1,0,0,0,6,0,0,0,2,150,
1894,00.46.13,288,4,192,0.657534247,0.534246575,190,2,0,2,5,1,1,10,0,3,1,1,0,0,0,10,0,0,0,156,
168,00.03.06,1661,12,1100,0.657501494,0.265391512,1093,7,0,176,61,2,27,145,22,0,6,0,4,0,1,136,0,2,67,444,
2843,00.79.60,1465,6,967,0.657375935,0.350781781,921,46,1,62,140,1,17,66,2,1,1,1,3,0,0,88,0,1,21,516,
2974,00.82.15,644,1,424,0.657364341,0.368992248,413,11,1,35,77,4,1,31,6,0,0,0,0,2,1,12,1,4,0,238,
2064,00.50.53,822,1,541,0.657351154,0.545565006,527,14,0,4,10,0,8,24,2,0,2,1,1,0,0,19,0,1,6,449,
2973,00.82.14,598,3,395,0.657237937,0.40765391,392,3,2,39,62,3,6,11,0,0,1,1,1,0,2,6,0,8,5,245,
2481,00.61.08,1187,6,784,0.657166806,0.410729254,764,20,2,41,71,2,21,54,8,3,3,3,0,1,6,45,0,3,11,490,
191,00.03.29,1320,13,876,0.657164291,0.245311328,868,8,0,138,69,1,11,142,10,0,0,1,0,2,0,106,0,2,59,327,
889,00.18.14,1011,4,667,0.657142857,0.369458128,633,34,2,54,101,3,9,51,2,0,2,0,2,0,0,24,0,2,6,375,
2338,00.58.41,105,0,69,0.657142857,0.428571429,69,0,0,1,15,0,0,6,1,0,0,0,0,0,0,1,0,0,0,45,
1647,00.38.02,1178,6,778,0.657094595,0.471283784,766,12,1,55,45,0,14,40,2,0,4,1,0,0,0,30,0,1,15,558,
1410,00.30.17,341,6,228,0.657060519,0.44092219,222,6,1,14,15,0,8,8,1,0,0,0,0,1,0,15,0,1,5,153,
